County,SEX350209D
"Taliaferro, GA",94
"Tattnall, GA",140.2
"Taylor, GA",96.9
"Telfair, GA",143.8
"Terrell, GA",93.3
"Thomas, GA",89.5
"Tift, GA",95.7
"Toombs, GA",92.3
"Towns, GA",92
"Treutlen, GA",101.7
"Troup, GA",94
"Turner, GA",92.8
"Twiggs, GA",90.3
"Union, GA",96.3
"Upson, GA",92.5
"Walker, GA",95.6
"Walton, GA",95
"Ware, GA",98.6
"Warren, GA",86.9
"Washington, GA",79.6
"Wayne, GA",108.5
"Webster, GA",103.5
"Wheeler, GA",159.9
"White, GA",97.5
"Whitfield, GA",99.9
"Wilcox, GA",142.1
"Wilkes, GA",91.8
"Wilkinson, GA",92.5
"Worth, GA",92.5
HAWAII,102.1
"Hawaii, HI",101
"Honolulu, HI",102.4
"Kalawao, HI",124.3
"Kauai, HI",100.8
"Maui, HI",102.4
IDAHO,100.8
"Ada, ID",101.4
"Adams, ID",101
"Bannock, ID",96.8
"Bear Lake, ID",97.5
"Benewah, ID",103.8
"Bingham, ID",100.1
"Blaine, ID",108.1
"Boise, ID",104
"Bonner, ID",100.2
"Bonneville, ID",100.4
"Boundary, ID",99.8
"Butte, ID",99.6
"Camas, ID",102.4
"Canyon, ID",99.9
"Caribou, ID",101.8
"Cassia, ID",101.2
"Clark, ID",97.5
"Clearwater, ID",118.8
"Custer, ID",105.7
"Elmore, ID",114.1
"Franklin, ID",103.2
"Fremont, ID",108.5
"Gem, ID",99.6
"Gooding, ID",108.9
"Idaho, ID",107.2
"Jefferson, ID",103.2
"Jerome, ID",105.4
"Kootenai, ID",98.4
"Latah, ID",104.6
"Lemhi, ID",99.2
"Lewis, ID",97.4
"Lincoln, ID",106.4
"Madison, ID",90.5
"Minidoka, ID",102.5
"Nez Perce, ID",95.9
"Oneida, ID",104.1
"Owyhee, ID",112.9
"Payette, ID",99.2
"Power, ID",99.6
"Shoshone, ID",100.1
"Teton, ID",111.1
"Twin Falls, ID",97.6
"Valley, ID",107.1
"Washington, ID",98.4
ILLINOIS,97.1
"Adams, IL",93.5
"Alexander, IL",93
"Bond, IL",116.3
"Boone, IL",102.2
"Brown, IL",186.8
"Bureau, IL",97.1
"Calhoun, IL",101.6
"Carroll, IL",98.8
"Cass, IL",102.2
"Champaign, IL",102.2
"Christian, IL",102.1
"Clark, IL",95.4
"Clay, IL",94.7
"Clinton, IL",107.4
"Coles, IL",91.7
"Cook, IL",94.8
"Crawford, IL",110.3
"Cumberland, IL",96.7
"DeKalb, IL",98.6
"De Witt, IL",97.9
"Douglas, IL",96.8
"DuPage, IL",98.4
"Edgar, IL",96.8
"Edwards, IL",95.7
"Effingham, IL",99.1
"Fayette, IL",105.1
"Ford, IL",94.6
"Franklin, IL",94
"Fulton, IL",106.9
"Gallatin, IL",94
"Greene, IL",95.9
"Grundy, IL",101.2
"Hamilton, IL",95.1
"Hancock, IL",94.7
"Hardin, IL",99.6
"Henderson, IL",96.9
"Henry, IL",98.4
"Iroquois, IL",97.7
"Jackson, IL",102
"Jasper, IL",101.2
"Jefferson, IL",105.3
"Jersey, IL",97.4
"Jo Daviess, IL",102.2
"Johnson, IL",153.8
"Kane, IL",102.6
"Kankakee, IL",95.9
"Kendall, IL",101.6
"Knox, IL",100.8
"Lake, IL",100.9
"LaSalle, IL",97.9
"Lawrence, IL",114.5
"Lee, IL",104
"Livingston, IL",99.3
"Logan, IL",101.6
"McDonough, IL",95.6
"McHenry, IL",101.3
"McLean, IL",94.6
"Macon, IL",91.7
"Macoupin, IL",96.8
"Madison, IL",94.2
"Marion, IL",93.5
"Marshall, IL",98.4
"Mason, IL",95.9
"Massac, IL",92.8
"Menard, IL",97.5
"Mercer, IL",98.8
"Monroe, IL",98.8
"Montgomery, IL",108.4
"Morgan, IL",100.4
"Moultrie, IL",95.6
"Ogle, IL",99.8
"Peoria, IL",93.4
"Perry, IL",116.6
"Piatt, IL",98.5
"Pike, IL",99.3
"Pope, IL",101.4
"Pulaski, IL",91.1
"Putnam, IL",100.1
"Randolph, IL",117.7
"Richland, IL",94.5
"Rock Island, IL",95.7
"St. Clair, IL",91.7
"Saline, IL",95.2
"Sangamon, IL",92
"Schuyler, IL",99.9
"Scott, IL",96.9
"Shelby, IL",99.2
"Stark, IL",94.6
"Stephenson, IL",93.5
"Tazewell, IL",98
"Union, IL",95.6
"Vermilion, IL",98
"Wabash, IL",96.8
"Warren, IL",94.9
"Washington, IL",99.2
"Wayne, IL",96.7
"White, IL",92.1
"Whiteside, IL",96.9
"Will, IL",100.9
"Williamson, IL",95.4
"Winnebago, IL",97
"Woodford, IL",98.3
INDIANA,97.1
"Adams, IN",99.1
"Allen, IN",96.3
"Bartholomew, IN",97.5
"Benton, IN",99.7
"Blackford, IN",99.2
"Boone, IN",97.1
"Brown, IN",101.9
"Carroll, IN",101.2
"Cass, IN",103.3
"Clark, IN",95.9
"Clay, IN",95.7
"Clinton, IN",98
"Crawford, IN",100
"Daviess, IN",99.4
"Dearborn, IN",98.2
"Decatur, IN",97.7
"DeKalb, IN",100.1
"Delaware, IN",91.9
"Dubois, IN",98.7
"Elkhart, IN",100.1
"Fayette, IN",94.3
"Floyd, IN",93.7
"Fountain, IN",99.8
"Franklin, IN",99.8
"Fulton, IN",97.9
"Gibson, IN",97.9
"Grant, IN",92.2
"Greene, IN",98.2
"Hamilton, IN",97.9
"Hancock, IN",98.4
"Harrison, IN",98.6
"Hendricks, IN",101.3
"Henry, IN",102.1
"Howard, IN",93.7
"Huntington, IN",94.9
"Jackson, IN",99.5
"Jasper, IN",99.5
"Jay, IN",97.4
"Jefferson, IN",99.7
"Jennings, IN",98.4
"Johnson, IN",96.8
"Knox, IN",98.5
"Kosciusko, IN",100.2
"LaGrange, IN",102.5
"Lake, IN",92.7
"LaPorte, IN",105.9
"Lawrence, IN",95.8
"Madison, IN",99.5
"Marion, IN",94
"Marshall, IN",99.6
"Martin, IN",104.3
"Miami, IN",114.8
"Monroe, IN",95.8
"Montgomery, IN",101.6
"Morgan, IN",99.4
"Newton, IN",99.7
"Noble, IN",103
"Ohio, IN",98.5
"Orange, IN",97.2
"Owen, IN",98.9
"Parke, IN",88.5
"Perry, IN",113.3
"Pike, IN",101.1
"Porter, IN",97.6
"Posey, IN",100.1
"Pulaski, IN",101.7
"Putnam, IN",111.6
"Randolph, IN",96.5
"Ripley, IN",98.8
"Rush, IN",97
"St. Joseph, IN",93.6
"Scott, IN",97.8
"Shelby, IN",100.1
"Spencer, IN",101.4
"Starke, IN",97.5
"Steuben, IN",101.8
"Sullivan, IN",117.5
"Switzerland, IN",101.2
"Tippecanoe, IN",105.3
"Tipton, IN",97.3
"Union, IN",97.5
"Vanderburgh, IN",90.5
"Vermillion, IN",97.2
"Vigo, IN",100.5
"Wabash, IN",94.4
"Warren, IN",102.1
"Warrick, IN",98.2
"Washington, IN",100.6
"Wayne, IN",92.6
"Wells, IN",98.3
"White, IN",98.1
"Whitley, IN",99.7
IOWA,97.6
"Adair, IA",95.7
"Adams, IA",98.7
"Allamakee, IA",105.6
"Appanoose, IA",92.8
"Audubon, IA",93
"Benton, IA",100.9
"Black Hawk, IA",93.2
"Boone, IA",97.8
"Bremer, IA",96.1
"Buchanan, IA",100.2
"Buena Vista, IA",103.7
"Butler, IA",99.5
"Calhoun, IA",103.1
"Carroll, IA",96.9
"Cass, IA",97.3
"Cedar, IA",98.6
"Cerro Gordo, IA",93.7
"Cherokee, IA",96.6
"Chickasaw, IA",100.6
"Clarke, IA",98.2
"Clay, IA",96.3
"Clayton, IA",99.5
"Clinton, IA",95.2
"Crawford, IA",103.4
"Dallas, IA",100.5
"Davis, IA",100.2
"Decatur, IA",97.3
"Delaware, IA",100.6
"Des Moines, IA",94.7
"Dickinson, IA",97.4
"Dubuque, IA",95.7
"Emmet, IA",98.8
"Fayette, IA",100.3
"Floyd, IA",95.7
"Franklin, IA",104
"Fremont, IA",100.6
"Greene, IA",96
"Grundy, IA",98.4
"Guthrie, IA",100
"Hamilton, IA",99.6
"Hancock, IA",98.9
"Hardin, IA",97.6
"Harrison, IA",97.1
"Henry, IA",105
"Howard, IA",99.3
"Humboldt, IA",99.4
"Ida, IA",95.1
"Iowa, IA",96.9
"Jackson, IA",98.6
"Jasper, IA",104.7
"Jefferson, IA",98.3
"Johnson, IA",96.9
"Jones, IA",112
"Keokuk, IA",96.9
"Kossuth, IA",97.7
"Lee, IA",99.8
"Linn, IA",96.6
"Louisa, IA",100.6
"Lucas, IA",96.8
"Lyon, IA",100.8
"Madison, IA",100.7
"Mahaska, IA",101.9
"Marion, IA",99.9
"Marshall, IA",99.1
"Mills, IA",102.8
"Mitchell, IA",97.6
"Monona, IA",95.7
"Monroe, IA",97.2
"Montgomery, IA",93.1
"Muscatine, IA",99.4
"O'Brien, IA",99.2
"Osceola, IA",98.4
"Page, IA",106.2
"Palo Alto, IA",96.8
"Plymouth, IA",100.5
"Pocahontas, IA",97.7
"Polk, IA",95.2
"Pottawattamie, IA",96.3
"Poweshiek, IA",94.8
"Ringgold, IA",96
"Sac, IA",97.4
"Scott, IA",96.3
"Shelby, IA",98
"Sioux, IA",97.9
"Story, IA",104.5
"Tama, IA",99.7
"Taylor, IA",97.1
"Union, IA",94.8
"Van Buren, IA",100.3
"Wapello, IA",96.5
"Warren, IA",97.3
"Washington, IA",95.6
"Wayne, IA",91
"Webster, IA",103.7
"Winnebago, IA",96.2
"Winneshiek, IA",98.4
"Woodbury, IA",96.5
"Worth, IA",100.3
"Wright, IA",99.8
KANSAS,98.7
"Allen, KS",96.5
"Anderson, KS",99
"Atchison, KS",95.1
"Barber, KS",97.7
"Barton, KS",96
"Bourbon, KS",94.8
"Brown, KS",94.5
"Butler, KS",102.5
"Chase, KS",102.3
"Chautauqua, KS",93.2
"Cherokee, KS",95.9
"Cheyenne, KS",100.3
"Clark, KS",98.9
"Clay, KS",100.9
"Cloud, KS",93.2
"Coffey, KS",98
"Comanche, KS",92.1
"Cowley, KS",95.9
"Crawford, KS",96.5
"Decatur, KS",96.9
"Dickinson, KS",97
"Doniphan, KS",97.7
"Douglas, KS",98.5
"Edwards, KS",101.6
"Elk, KS",93.5
"Ellis, KS",95.7
"Ellsworth, KS",117.6
"Finney, KS",104
"Ford, KS",107.9
"Franklin, KS",100.3
"Geary, KS",95.6
"Gove, KS",92.8
"Graham, KS",97.6
"Grant, KS",100.4
"Gray, KS",102.3
"Greeley, KS",92.5
"Greenwood, KS",98
"Hamilton, KS",104.8
"Harper, KS",98.2
"Harvey, KS",96.8
"Haskell, KS",105
"Hodgeman, KS",97.1
"Jackson, KS",99.9
"Jefferson, KS",103.2
"Jewell, KS",102
"Johnson, KS",97.5
"Kearny, KS",107.5
"Kingman, KS",98.9
"Kiowa, KS",100.2
"Labette, KS",98.4
"Lane, KS",97.7
"Leavenworth, KS",111.6
"Lincoln, KS",98.8
"Linn, KS",100.5
"Logan, KS",98.1
"Lyon, KS",97.3
"McPherson, KS",97.5
"Marion, KS",96.5
"Marshall, KS",98.8
"Meade, KS",103.7
"Miami, KS",100.3
"Mitchell, KS",98.9
"Montgomery, KS",93.4
"Morris, KS",98.3
"Morton, KS",91.1
"Nemaha, KS",99.2
"Neosho, KS",95.3
"Ness, KS",99.6
"Norton, KS",126.1
"Osage, KS",98.1
"Osborne, KS",101
"Ottawa, KS",102.5
"Pawnee, KS",119.1
"Phillips, KS",98.8
"Pottawatomie, KS",99
"Pratt, KS",95.9
"Rawlins, KS",97.3
"Reno, KS",101.2
"Republic, KS",96.6
"Rice, KS",94.5
"Riley, KS",109.7
"Rooks, KS",99.4
"Rush, KS",94.6
"Russell, KS",94.5
"Saline, KS",98.4
"Scott, KS",98.6
"Sedgwick, KS",98.1
"Seward, KS",107.9
"Shawnee, KS",94.4
"Sheridan, KS",97
"Sherman, KS",107.2
"Smith, KS",95.3
"Stafford, KS",96.2
"Stanton, KS",104.8
"Stevens, KS",97.9
"Sumner, KS",98.5
"Thomas, KS",95
"Trego, KS",94.9
"Wabaunsee, KS",103.2
"Wallace, KS",99.2
"Washington, KS",102.7
"Wichita, KS",103.2
"Wilson, KS",95.7
"Woodson, KS",96.8
"Wyandotte, KS",95.9
KENTUCKY,96.4
"Adair, KY",96.8
"Allen, KY",96
"Anderson, KY",97.6
"Ballard, KY",99.7
"Barren, KY",94.4
"Bath, KY",97.8
"Bell, KY",92.4
"Boone, KY",98.3
"Bourbon, KY",96.8
"Boyd, KY",99.3
"Boyle, KY",100.1
"Bracken, KY",99.3
"Breathitt, KY",97.6
"Breckinridge, KY",99.2
"Bullitt, KY",98.3
"Butler, KY",100.5
"Caldwell, KY",93.3
"Calloway, KY",95.5
"Campbell, KY",93.8
"Carlisle, KY",97.1
"Carroll, KY",102.1
"Carter, KY",97.1
"Casey, KY",96.5
"Christian, KY",99.7
"Clark, KY",95.5
"Clay, KY",113.2
"Clinton, KY",93
"Crittenden, KY",94
"Cumberland, KY",94
"Daviess, KY",93.8
"Edmonson, KY",98.7
"Elliott, KY",111.9
"Estill, KY",94.1
"Fayette, KY",97.4
"Fleming, KY",95.8
"Floyd, KY",97.8
"Franklin, KY",94.8
"Fulton, KY",86.4
"Gallatin, KY",98.3
"Garrard, KY",98.2
"Grant, KY",97.4
"Graves, KY",95.7
"Grayson, KY",98.4
"Green, KY",98.7
"Greenup, KY",92.9
"Hancock, KY",98.1
"Hardin, KY",97.9
"Harlan, KY",92.8
"Harrison, KY",96.8
"Hart, KY",98.4
"Henderson, KY",94.3
"Henry, KY",98.9
"Hickman, KY",93.2
"Hopkins, KY",92.7
"Jackson, KY",97.8
"Jefferson, KY",92.8
"Jessamine, KY",96.1
"Johnson, KY",94
"Kenton, KY",97.2
"Knott, KY",96.6
"Knox, KY",93.4
"Larue, KY",96.1
"Laurel, KY",95.9
"Lawrence, KY",98.5
"Lee, KY",109.6
"Leslie, KY",93.9
"Letcher, KY",96.2
"Lewis, KY",98.1
"Lincoln, KY",96
"Livingston, KY",97.2
"Logan, KY",94.3
"Lyon, KY",140.3
"McCracken, KY",91.6
